v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,5482,0x7ff6e82c7fa0,36,Abort
code-creation,Builtin,3,5496,0x7ff6e82c7fe0,36,AbortCSAAssert
code-creation,Builtin,3,5510,0x7ff6e82c8020,12,EmptyFunction
code-creation,Builtin,3,5524,0x7ff6e82c8040,12,Illegal
code-creation,Builtin,3,5538,0x7ff6e82c8060,12,StrictPoisonPillThrower
code-creation,Builtin,3,5553,0x7ff6e82c8080,12,UnsupportedThrower
code-creation,Builtin,3,5568,0x7ff6e82c80a0,65,ReturnReceiver
code-creation,Builtin,3,5582,0x7ff6e82c8100,36,ArrayConstructor
code-creation,Builtin,3,5597,0x7ff6e82c8140,413,ArrayConstructorImpl
code-creation,Builtin,3,5612,0x7ff6e82c82e0,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5628,0x7ff6e82c83c0,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5647,0x7ff6e82c84a0,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5664,0x7ff6e82c8560,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5680,0x7ff6e82c8620,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5697,0x7ff6e82c86e0,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5720,0x7ff6e82c87a0,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5738,0x7ff6e82c8880,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5754,0x7ff6e82c8960,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5770,0x7ff6e82c8b80,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5793,0x7ff6e82c8d80,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5862,0x7ff6e82c8f40,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5881,0x7ff6e82c90e0,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5898,0x7ff6e82c92a0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5915,0x7ff6e82c9440,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5932,0x7ff6e82c9620,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5950,0x7ff6e82c97e0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,5965,0x7ff6e82c9840,12,ArrayConcat
code-creation,Builtin,3,5979,0x7ff6e82c9860,12,ArrayPrototypeFill
code-creation,Builtin,3,5993,0x7ff6e82c9880,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,6008,0x7ff6e82c9c40,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,6023,0x7ff6e82c9ce0,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,6038,0x7ff6e82c9dc0,561,ArrayIncludes
code-creation,Builtin,3,6053,0x7ff6e82ca000,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,6067,0x7ff6e82ca380,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,6082,0x7ff6e82ca400,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,6097,0x7ff6e82ca480,569,ArrayIndexOf
code-creation,Builtin,3,6112,0x7ff6e82ca6c0,12,ArrayPop
code-creation,Builtin,3,6126,0x7ff6e82ca6e0,674,ArrayPrototypePop
code-creation,Builtin,3,6140,0x7ff6e82ca9a0,12,ArrayPush
code-creation,Builtin,3,6154,0x7ff6e82ca9c0,2778,ArrayPrototypePush
code-creation,Builtin,3,6169,0x7ff6e82cb4a0,12,ArrayShift
code-creation,Builtin,3,6183,0x7ff6e82cb4c0,12,ArrayUnshift
code-creation,Builtin,3,6197,0x7ff6e82cb4e0,1070,CloneFastJSArray
code-creation,Builtin,3,6211,0x7ff6e82cb920,2470,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,6226,0x7ff6e82cc2e0,1102,ExtractFastJSArray
code-creation,Builtin,3,6241,0x7ff6e82cc740,287,ArrayPrototypeEntries
code-creation,Builtin,3,6256,0x7ff6e82cc860,271,ArrayPrototypeKeys
code-creation,Builtin,3,6270,0x7ff6e82cc980,287,ArrayPrototypeValues
code-creation,Builtin,3,6285,0x7ff6e82ccaa0,4352,ArrayIteratorPrototypeNext
code-creation,Builtin,3,6300,0x7ff6e82cdbc0,3988,FlattenIntoArray
code-creation,Builtin,3,6315,0x7ff6e82ceb60,4016,FlatMapIntoArray
code-creation,Builtin,3,6329,0x7ff6e82cfb20,508,ArrayPrototypeFlat
code-creation,Builtin,3,6344,0x7ff6e82cfd20,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,6359,0x7ff6e82cff60,12,ArrayBufferConstructor
code-creation,Builtin,3,6374,0x7ff6e82cff80,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,6389,0x7ff6e82cffa0,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,6405,0x7ff6e82cffc0,12,ArrayBufferIsView
code-creation,Builtin,3,6419,0x7ff6e82cffe0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,6434,0x7ff6e82d0000,724,AsyncFunctionEnter
code-creation,Builtin,3,6449,0x7ff6e82d02e0,161,AsyncFunctionReject
code-creation,Builtin,3,6464,0x7ff6e82d03a0,153,AsyncFunctionResolve
code-creation,Builtin,3,6479,0x7ff6e82d0440,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,6495,0x7ff6e82d0460,2376,AsyncFunctionAwaitCaught
code-creation,Builtin,3,6510,0x7ff6e82d0dc0,2376,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,6525,0x7ff6e82d1720,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,6545,0x7ff6e82d17e0,179,AsyncFunctionAwaitResolveClosure
